Empire Name
Zyphorian Dominion
Nyxaris Conclave
Vaelthar Syndicate
Xenthari Ascendancy
Oberon Imperium
Velmora Collective
Drakonis Hegemony
Celestara Confederation
Xylaran Expanse
Thalvex Hierarchy
Phaedron Council
Quorax Primacy
Ryltharian Cartel
Krythos Empire
Maveron Combine
Axion Nexus
Jornath Union
Zephirion Pact
Scyphos Assembly
Targan Enclave
Draxium Federation
Zenovaran Authority
Solvaris Mandate
Euphora Protectorate
Titanis Alliance
Xelaris Dominion
Vorthan Syndicate
Nihlus Empire
Zorthalis Consortium
Syralis Empire
Kyrothian Dynasty
Haedron Sovereignty
Mithrix Union
Vyxthor Coalition
Orionis Supremacy
Tarkis Autocracy
Xithorian Syndicate
Syphora Compact
Lethara Dominion
Eldoran Conclave
Vortalis Combine
Nyxorian Accord
Aetheros Confederacy
Zenithar Principality
Krythar Conglomerate
Quantis Hierarchy
Galrithium Cartel
Vaelros Hegemony
Pyxis Accord
Xyphor Initiative
