Planet Name
Xyphor-7
Drakonis Prime
Zephyria
Oberon IX
Vorlath-3
Nyxus Nebula
Crysalon-5
Velmora
Titanis Sector
Zentauri V
Eldoran Cluster
Kyroth
Zenovara
Raxalon
Thalvex Minor
Ithoria
Phaedros-4
Valtross Prime
Scyphos IV
Targan Rift
Quorax-2
Draxium Prime
Zythor Nexus
Maveros
Vortalis-8
Xenithon-5
Ylthos Void
Galrithium
Nihlus Core
Valthorne-12
Euphora
Sauronix Belt
Krythos-7
Celestara Prime
Orionis-9
Velkarus
Zypherius Rift
Haedron Sector
Mithrax Nebula
Xylar-6
Quantis Alpha
Kaeloris-4
Lethara Cluster
Nymberus
Ctharnax Prime
Xenthos-3
Vaelthar Nexus
Axion Nebula
Kryos Belt
Solvex-8
Drathos Rift
Pylarus IV
Rylthara Prime
Vornok-7
Zephirion Minor
Aetheros
Torkalis Sector
Syphora Core
Thalvoris
Nyxaris V
Velmora Beta
Zalvith Cluster
Oberon-6
Krythara-9
Thalvex Void
Xithor Belt
Xelvros-2
Galrion Nexus
Tarkis Rift
Vyxalia Alpha
Zentharis Nebula
Jornath Prime
Xylothara-5
Drexor Belt
Ulvath Cluster
Ithralis Sector
Phaedron IX
Vorthan-4
Quoralis Core
Xyphoros Rift
Zentarion Nexus
Mithrix Prime
Scyphora-7
Draxorith Nebula
Syralis Minor
Krythar Belt
Solvaros-12
Xenthara Alpha
Xylar Prime
Zorthalis IX
Pyxis Void
Vaelros Cluster
Axion Belt
Nyxora-3
Drakonis Alpha
Xelaris Minor
Vyxthor Prime
Mithron Sector
Syphoroth Rift
Targan Core
Zenorix-5
Kylaris Beta
